method,hit_rate_%,k_distribution,ann_return_%,ann_volatility_%,sharpe_ratio,max_drawdown_%
argmax_all,19.53,"{2: 211, 3: 2, 4: 2}",15.4812,17.0813,0.9331,-37.8739
argmax_no2,15.35,"{3: 102, 4: 36, 5: 22, 6: 8, 7: 10, 8: 37}",17.5218,20.7422,0.8872,-45.3449
delta_method,13.49,"{4: 53, 5: 84, 6: 34, 7: 22, 8: 22}",16.6379,21.6379,0.8241,-45.9015
fixed_k2,19.53,{2: 215},15.4812,17.024,0.9357,-37.8739
fixed_k3,13.49,{3: 215},15.3585,17.7189,0.8995,-46.2439
fixed_k4,8.84,{4: 215},15.8834,19.4852,0.8593,-46.306
fixed_k5,11.63,{5: 215},17.4256,20.5476,0.8898,-48.4279
oracle,100.0,"{2: 42, 3: 29, 4: 19, 5: 25, 6: 28, 7: 35, 8: 37}",42.549,21.4961,1.7771,-34.6968
random_k,18.14,"{2: 27, 3: 26, 4: 27, 5: 43, 6: 28, 7: 42, 8: 22}",20.4688,21.3377,0.9845,-46.2418
